utt_id,primary_language,family,gender,duration_s,reference_text,reference_normalized,hypothesis_text,hypothesis_normalized,wer,n_sub,n_del,n_ins,ref_len_words
svarah_00200,Punjabi,Indo-Aryan,Female,7.204625,"Most people here are engaged in businesses of various sorts, which contribute greatly to the overall economy of the district",most people here are engaged in businesses of various sorts which contribute greatly to the overall economy of the district,"Most people here are engaged in businesses of various sorts, which contribute greatly to the overall economy of the district.",most people here are engaged in businesses of various sorts which contribute greatly to the overall economy of the district,0.0,0,0,0,20
svarah_00225,Bodo,Sino-Tibetan,Female,0.477125,Wow,wow,Wow,wow,0.0,0,0,0,1
svarah_00227,Telugu,Dravidian,Female,5.0339375,How has your practice of yoga changed or evolved over time?,how has your practice of yoga changed or evolved over time,How has your practice of yoga changed or evolved over time?,how has your practice of yoga changed or evolved over time,0.0,0,0,0,11
svarah_00228,Kannada,Dravidian,Male,0.7945,yes,yes,Yes,yes,0.0,0,0,0,1
svarah_00246,Bodo,Sino-Tibetan,Male,0.8996875,Baukungri peak,baukungri peak,Bank of Hungary Peak,bank of hungary peak,1.5,1,0,2,2
svarah_00253,Punjabi,Indo-Aryan,Male,10.6315,Show the transaction details of my APY account with PRAN number 288614536785,show the transaction details of my apy account with pran number 288614536785,Show the transaction details of my APY account with PRAN number 288614536785,show the transaction details of my apy account with pran number 288614536785,0.0,0,0,0,12
svarah_00285,Bodo,Sino-Tibetan,Female,0.86175,Disagree,disagree,Disagree,disagree,0.0,0,0,0,1
svarah_00301,Sindhi,Indo-Aryan,Male,3.6748125,according to me is a great influence,according to me is a great influence,"According to me, is a great influence",according to me is a great influence,0.0,0,0,0,7
svarah_00303,Bodo,Sino-Tibetan,Male,4.933,The world famous national parks called,the world famous national parks called,the world famous national parks called,the world famous national parks called,0.0,0,0,0,6
svarah_00304,Punjabi,Indo-Aryan,Female,4.1765625,Set a reminder for my pending payment to contact Mahnoor,set a reminder for my pending payment to contact mahnoor,Set a reminder for my pending payment to contact Mahnoor.,set a reminder for my pending payment to contact mahnoor,0.0,0,0,0,10
svarah_00324,Urdu,Indo-Aryan,Male,3.946625,when is the last time i contacted John Smith,when is the last time i contacted john smith,When is the last time I contacted John Smith?,when is the last time i contacted john smith,0.0,0,0,0,9
svarah_00331,Telugu,Dravidian,Female,29.2894375,"Actually, there's a book called a boy in the striped pajamas and I once read the book, but I didn't like it that much. But then I got to see the movie which came in the YouTube. And then once I saw the movie, I was so impressed by it and I went back to read the book again. And that is when I started liking it so much.",actually there's a book called a boy in the striped pajamas and i once read the book but i didn't like it that much but then i got to see the movie which came in the youtube and then once i saw the movie i was so impressed by it and i went back to read the book again and that is when i started liking it so much,"Uh, actually there's a book called Boy in the Striped Pajamas and I once read the book but I didn't like it that much. But then I got to see the movie which came in the YouTube and then once I saw the movie I was so impressed by it and I went back to read the book again and that is when I started liking it so much.",uh actually there's a book called boy in the striped pajamas and i once read the book but i didn't like it that much but then i got to see the movie which came in the youtube and then once i saw the movie i was so impressed by it and i went back to read the book again and that is when i started liking it so much,0.028985507246376812,0,1,1,69
svarah_00363,Odia,Indo-Aryan,Male,0.79975,and,and,and,and,0.0,0,0,0,1
svarah_00400,Telugu,Dravidian,Male,3.1564375,Can I get my order delivered after 2 Hours,can i get my order delivered after 2 hours,Can I get my order delivered after 2 hours?,can i get my order delivered after 2 hours,0.0,0,0,0,9
svarah_00434,Malayalam,Dravidian,Female,7.56,"So here we are a state that boasts of 100% literacy, which means that all our citizens,",so here we are a state that boasts of 100 literacy which means that all our citizens,"So here we are a state that boasts of 100% literacy, which means that all our citizens",so here we are a state that boasts of 100 literacy which means that all our citizens,0.0,0,0,0,17
svarah_00453,Maithili,Indo-Aryan,Female,9.1491875,"So I poured some in the starting, then again I poured and finally it happened that it became so wet",so i poured some in the starting then again i poured and finally it happened that it became so wet,"So I poured some in the starting, then again I poured and finally it happened that it became so wet.",so i poured some in the starting then again i poured and finally it happened that it became so wet,0.0,0,0,0,20
svarah_00458,Telugu,Dravidian,Female,0.5161875,Agree,agree,Agree,agree,0.0,0,0,0,1
svarah_00459,Kashmiri,Indo-Aryan,Female,0.5056875,Delhi,delhi,Delhi,delhi,0.0,0,0,0,1
svarah_00484,Bodo,Sino-Tibetan,Female,6.97125,"Beijing, Dubai, Shanghai, Tokyo, London",beijing dubai shanghai tokyo london,"Beijing, Dubai, Shanghai, Tokyo, London",beijing dubai shanghai tokyo london,0.0,0,0,0,5
svarah_00489,Bodo,Sino-Tibetan,Male,8.5995,"mental stamina is more stable than before, where I have been doing yoga on a regular basis",mental stamina is more stable than before where i have been doing yoga on a regular basis,Mental stamina is more stable than before after I have been doing yoga on a regular basis.,mental stamina is more stable than before after i have been doing yoga on a regular basis,0.058823529411764705,1,0,0,17
svarah_00499,Urdu,Indo-Aryan,Female,6.64,"Karnataka is home to 50 different tribes, each having their own traditions and customs.",karnataka is home to 50 different tribes each having their own traditions and customs,"Karnataka is home to 50 different tribes, each having their own traditions and customs.",karnataka is home to 50 different tribes each having their own traditions and customs,0.0,0,0,0,14
svarah_00511,Telugu,Dravidian,Female,17.066625,among people and people are able to converse much easily compared to the previous days and it has become very convenient for people to talk in English these days.,among people and people are able to converse much easily compared to the previous days and it has become very convenient for people to talk in english these days,Among people and people are able to converse much easily compared to the previous days and it has become very convenient for people to talk in English these days.,among people and people are able to converse much easily compared to the previous days and it has become very convenient for people to talk in english these days,0.0,0,0,0,29
svarah_00513,Tamil,Dravidian,Female,3.5383125,Why did I not get a reminder to pay the Landline bill?,why did i not get a reminder to pay the landline bill,Why did I not get a reminder to pay the landline bill?,why did i not get a reminder to pay the landline bill,0.0,0,0,0,12
svarah_00527,Konkani,Indo-Aryan,Male,4.029875,There is more coverage given to the local news.,there is more coverage given to the local news,There is more coverage given to the local news.,there is more coverage given to the local news,0.0,0,0,0,9
svarah_00530,Tamil,Dravidian,Female,2.269125,set alarm at 10 AM,set alarm at 10 am,Set alarm at 10 AM,set alarm at 10 am,0.0,0,0,0,5
svarah_00543,Malayalam,Dravidian,Female,3.1470625,is an ancient temple located in Ochera,is an ancient temple located in ochera,is an ancient temple located in Uchara,is an ancient temple located in uchara,0.14285714285714285,1,0,0,7
svarah_00547,Bengali,Indo-Aryan,Female,3.76,"Puja and Kali Puja, he used to take such amazing snaps.",puja and kali puja he used to take such amazing snaps,Pooja and Kali Pooja. He used to take such amazing snaps.,pooja and kali pooja he used to take such amazing snaps,0.18181818181818182,2,0,0,11
svarah_00569,Assamese,Indo-Aryan,Female,0.36425,Help,help,Help,help,0.0,0,0,0,1
svarah_00574,Bodo,Sino-Tibetan,Female,23.0689375,"One of the crop loans is Assam Farmers Credit Subsidy Scheme, which provides short-term crop loans. The scheme is to ease the burden on farmers to pay back loans and contribute towards their economy and social development.",one of the crop loans is assam farmers credit subsidy scheme which provides short term crop loans the scheme is to ease the burden on farmers to pay back loans and contribute towards their economy and social development,One of the crop loan is Assam Farmers Credit Subsidy Scheme which provide short term crop loans. The scheme is to ease the burden on farmers to pay back loans and contribute towards their economic and social development.,one of the crop loan is assam farmers credit subsidy scheme which provide short term crop loans the scheme is to ease the burden on farmers to pay back loans and contribute towards their economic and social development,0.07894736842105263,3,0,0,38
svarah_00626,Tamil,Dravidian,Female,4.51875,Rosewood carving is another ancient craft practiced in Mysore for centuries,rosewood carving is another ancient craft practiced in mysore for centuries,Rosewood carving is another ancient craft practiced in Mysore for centuries.,rosewood carving is another ancient craft practiced in mysore for centuries,0.0,0,0,0,11
svarah_00630,Bodo,Sino-Tibetan,Male,2.714125,Clear all the reminders set up last week.,clear all the reminders set up last week,Clear all the reminders set up last week.,clear all the reminders set up last week,0.0,0,0,0,8
svarah_00634,Kannada,Dravidian,Male,4.1164375,She was there for Harry Potter in ways that nobody could have been.,she was there for harry potter in ways that nobody could have been,She was there for Harry Potter in ways that nobody could have been.,she was there for harry potter in ways that nobody could have been,0.0,0,0,0,13
svarah_00645,Bodo,Sino-Tibetan,Male,5.1123125,"where I was trained physical, mental and spiritual",where i was trained physical mental and spiritual,"where I was trained physical, mental and spiritual.",where i was trained physical mental and spiritual,0.0,0,0,0,8
svarah_00671,Marathi,Indo-Aryan,Female,1.030875,1000,1000,1000,1000,0.0,0,0,0,1
svarah_00675,Telugu,Dravidian,Male,5.047375,List submitted Fresh scholarship applications on NSP,list submitted fresh scholarship applications on nsp,List submitted fresh scholarship applications on NSP,list submitted fresh scholarship applications on nsp,0.0,0,0,0,7
svarah_00712,Bodo,Sino-Tibetan,Male,0.8333125,Manas,manas,Manas,manas,0.0,0,0,0,1
svarah_00722,Malayalam,Dravidian,Male,2.42125,how is the traffic around city center,how is the traffic around city center,How is the traffic around city center?,how is the traffic around city center,0.0,0,0,0,7
svarah_00727,Kannada,Dravidian,Male,6.12,Not much of study or reading in English literature.,not much of study or reading in english literature,Not much of study or reading in English literature.,not much of study or reading in english literature,0.0,0,0,0,9
svarah_00755,Kannada,Dravidian,Female,6.6,It can be used as a means of self-expression where words are not necessary.,it can be used as a means of self expression where words are not necessary,It can be used as a means of self expression where words are not necessary.,it can be used as a means of self expression where words are not necessary,0.0,0,0,0,15
svarah_00774,Maithili,Indo-Aryan,Female,10.2038125,"Since singing is my passion, so I like to phrase the words and like to sing it in my own styles.",since singing is my passion so i like to phrase the words and like to sing it in my own styles,"Since singing is my passion, so I like to phrase the words and like to sing it in my own styles.",since singing is my passion so i like to phrase the words and like to sing it in my own styles,0.0,0,0,0,21
svarah_00796,Bodo,Sino-Tibetan,Female,9.7129375,"The purpose of making a healing mandala is to deliver wisdom, create calm and aid in focus and concentration",the purpose of making a healing mandala is to deliver wisdom create calm and aid in focus and concentration,"The purpose of making a healing mandala is to deliver wisdom, create calm and aid in focus and concentration.",the purpose of making a healing mandala is to deliver wisdom create calm and aid in focus and concentration,0.0,0,0,0,19
svarah_00833,Bodo,Sino-Tibetan,Male,4.417,please set an alarm for tomorrows meeting at seven am,please set an alarm for tomorrows meeting at seven am,Please set an alarm for tomorrow's meeting at 7 AM.,please set an alarm for tomorrow's meeting at 7 am,0.2,2,0,0,10
svarah_00846,Nepali,Indo-Aryan,Male,13.0,"membranced, nostalgic, syntax, nefarious, and so on.",membranced nostalgic syntax nefarious and so on,"Embranced, nostalgic, syntax, nefarious and so on.",embranced nostalgic syntax nefarious and so on,0.14285714285714285,1,0,0,7
svarah_00852,Telugu,Dravidian,Female,6.2553125,Please change your order of BORGES Vegan Hazelnut Drink because it is out of stock,please change your order of borges vegan hazelnut drink because it is out of stock,Please change your order of Borges Vegan Hazelnut Drink because it is out of stock.,please change your order of borges vegan hazelnut drink because it is out of stock,0.0,0,0,0,15
svarah_00855,Bodo,Sino-Tibetan,Female,5.555375,Show the list of restaurants I paid through PayPal last Year,show the list of restaurants i paid through paypal last year,Show the list of restaurants I paid through PayPal last year.,show the list of restaurants i paid through paypal last year,0.0,0,0,0,11
svarah_00889,Bodo,Sino-Tibetan,Female,10.221,Another is Kishan Credit Card Scheme. It was issued in 1998,another is kishan credit card scheme it was issued in 1998,Another is Kisan Credit Card Scheme. It was issued in 1998.,another is kisan credit card scheme it was issued in 1998,0.09090909090909091,1,0,0,11
svarah_00904,Malayalam,Dravidian,Female,7.673125,then collaboration is encouraged among children and the teacher where motivation is brought about through self-development,then collaboration is encouraged among children and the teacher where motivation is brought about through self development,Then collaboration is encouraged among children and the teacher where motivation is brought about through self-development.,then collaboration is encouraged among children and the teacher where motivation is brought about through self development,0.0,0,0,0,17
svarah_00925,Bodo,Sino-Tibetan,Male,13.0734375,"It is equally liked by all sections of people, and it is a popular dance form among many other dance forms available in the society.",it is equally liked by all sections of people and it is a popular dance form among many other dance forms available in the society,It is equally liked by all sections of people and it is a popular dance form among many other dance forms available in the society.,it is equally liked by all sections of people and it is a popular dance form among many other dance forms available in the society,0.0,0,0,0,25
svarah_00926,Telugu,Dravidian,Female,5.1449375,"The product ChefBoss Pasta & Pizza Sauce is damaged, I want to return it.",the product chefboss pasta pizza sauce is damaged i want to return it,The product Chef Boss pasta and pizza sauce is damaged. I want to return it.,the product chef boss pasta and pizza sauce is damaged i want to return it,0.23076923076923078,1,0,2,13
svarah_00955,Kannada,Dravidian,Female,1.0713125,Pulses and,pulses and,pulses and,pulses and,0.0,0,0,0,2
svarah_00956,Nepali,Indo-Aryan,Female,8.684625,The language used and the in-depth information about the Russian Revolution made it challenging,the language used and the in depth information about the russian revolution made it challenging,The language used and the in-depth information about the Russian Revolution made it challenging.,the language used and the in depth information about the russian revolution made it challenging,0.0,0,0,0,15
svarah_00957,Malayalam,Dravidian,Female,0.2785625,Right,right,Try,try,1.0,1,0,0,1
svarah_00969,Bodo,Sino-Tibetan,Male,5.1163125,one can go inside the national park and enjoy the beauty of,one can go inside the national park and enjoy the beauty of,and one can go inside the national park and enjoy the beauty of,and one can go inside the national park and enjoy the beauty of,0.08333333333333333,0,0,1,12
svarah_01001,Bodo,Sino-Tibetan,Male,3.4854375,Their holistic approach to the disease of addiction,their holistic approach to the disease of addiction,their holistic approach to the digest of addiction,their holistic approach to the digest of addiction,0.125,1,0,0,8
svarah_01005,Bodo,Sino-Tibetan,Male,7.7195,"And in between, during daytime, also whenever I get time, I do meditation and",and in between during daytime also whenever i get time i do meditation and,"And in between, during daytime, also whenever I get time, I do meditation and",and in between during daytime also whenever i get time i do meditation and,0.0,0,0,0,14
svarah_01063,Malayalam,Dravidian,Male,0.4359375,Four,four,Four,four,0.0,0,0,0,1
svarah_01096,Nepali,Indo-Aryan,Female,10.47125,Search for the medical store which are closer to my current location and has Surgical Cap medicine available,search for the medical store which are closer to my current location and has surgical cap medicine available,Search for the medical store which are closer to my current location and has surgical cap medicine available.,search for the medical store which are closer to my current location and has surgical cap medicine available,0.0,0,0,0,18
svarah_01103,Sindhi,Indo-Aryan,Female,3.9833125,I don't provide specific time for singing. I,i don't provide specific time for singing i,I didn't provide specific time for singing. I,i didn't provide specific time for singing i,0.125,1,0,0,8
svarah_01108,Bodo,Sino-Tibetan,Male,6.5584375,"Both the valleys and sharp mountains are not friendly sights, but they are magnificent.",both the valleys and sharp mountains are not friendly sights but they are magnificent,"Both the valleys and surf mountains are not friendly sites, but they are magnificent.",both the valleys and surf mountains are not friendly sites but they are magnificent,0.14285714285714285,2,0,0,14
svarah_01125,Malayalam,Dravidian,Female,4.3983125,What are the items in Utensils with the offer of minimum 40 %?,what are the items in utensils with the offer of minimum 40,What are the items in utensils with the offer of minimum 40%?,what are the items in utensils with the offer of minimum 40,0.0,0,0,0,12
svarah_01168,Bodo,Sino-Tibetan,Male,3.5655,Celebrated on a day before Bwisagu by the Bodo people,celebrated on a day before bwisagu by the bodo people,celebrated on a day before Baisagu by the Board of People,celebrated on a day before baisagu by the board of people,0.3,2,0,1,10
svarah_01190,Bodo,Sino-Tibetan,Female,0.4680625,Cat,cat,Cat,cat,0.0,0,0,0,1
svarah_01192,Bodo,Sino-Tibetan,Male,0.676625,Wow,wow,Wow,wow,0.0,0,0,0,1
svarah_01194,Kannada,Dravidian,Male,0.89625,Washington,washington,Washington,washington,0.0,0,0,0,1
svarah_01201,Kannada,Dravidian,Male,5.3028125,But most of the construction in the rest of the places in Karnataka have flat roofs.,but most of the construction in the rest of the places in karnataka have flat roofs,But most of the construction in the rest of the places in Karnataka have flat roofs.,but most of the construction in the rest of the places in karnataka have flat roofs,0.0,0,0,0,16
svarah_01238,Kannada,Dravidian,Male,13.3560625,I want to download EFPO passbook statement for account with UAN number 336537946597,i want to download efpo passbook statement for account with uan number 336537946597,I want to download EFPO passbook statement for account with UAN number 336537946597.,i want to download efpo passbook statement for account with uan number 336537946597,0.0,0,0,0,13
svarah_01264,Malayalam,Dravidian,Male,3.4051875,and Barbican Non-Alcoholic Beer Bottle.,and barbican non alcoholic beer bottle,and Barbican non-alcoholic beer bottle,and barbican non alcoholic beer bottle,0.0,0,0,0,6
svarah_01281,Tamil,Dravidian,Female,0.440625,Up,up,Up,up,0.0,0,0,0,1
svarah_01282,Nepali,Indo-Aryan,Male,1.58675,where is the event venue,where is the event venue,Where is the event venue?,where is the event venue,0.0,0,0,0,5
svarah_01289,Maithili,Indo-Aryan,Male,3.08,It is said to have been founded by Dharbhangi Khan.,it is said to have been founded by dharbhangi khan,It is said to have been founded by Darbhangi Khan.,it is said to have been founded by darbhangi khan,0.1,1,0,0,10
svarah_01300,Nepali,Indo-Aryan,Female,10.3084375,Search for the medical store which are closer to my current location and has Surgical Cap medicine available,search for the medical store which are closer to my current location and has surgical cap medicine available,Search for the medical store which are closer to my current location and has surgical cap medicine available.,search for the medical store which are closer to my current location and has surgical cap medicine available,0.0,0,0,0,18
svarah_01328,Bodo,Sino-Tibetan,Female,8.3758125,And its creation signifies the transformation of a universe of suffering into joy.,and its creation signifies the transformation of a universe of suffering into joy,and its creation signifies the transformation of a universe of suffering into joy.,and its creation signifies the transformation of a universe of suffering into joy,0.0,0,0,0,13
svarah_01362,Bodo,Sino-Tibetan,Female,5.0400625,"And during the month of September to October,",and during the month of september to october,And during the month of September to October,and during the month of september to october,0.0,0,0,0,8
svarah_01389,Bodo,Sino-Tibetan,Female,1.6091875,like any other language.,like any other language,Like any other language,like any other language,0.0,0,0,0,4
svarah_01392,Bodo,Sino-Tibetan,Female,5.6400625,"ericanut, banana, et cetera.",ericanut banana et cetera,"Erikannatt, banana, etcetera.",erikannatt banana etcetera,0.75,2,1,0,4
svarah_01429,Bodo,Sino-Tibetan,Male,0.6,India,india,India,india,0.0,0,0,0,1
svarah_01448,Tamil,Dravidian,Male,3.36,and marginalized communities to promote higher education.,and marginalized communities to promote higher education,and marginalized communities to promote higher education.,and marginalized communities to promote higher education,0.0,0,0,0,7
svarah_01466,Kashmiri,Indo-Aryan,Female,8.3336875,"As far as the recreational activities are concerned, Srinagar has a plethora of events happening now and then in almost every season.",as far as the recreational activities are concerned srinagar has a plethora of events happening now and then in almost every season,"As far as the recreational activities are concerned, Srinagar has a plethora of events happening now and then in almost every season.",as far as the recreational activities are concerned srinagar has a plethora of events happening now and then in almost every season,0.0,0,0,0,22
svarah_01467,Bodo,Sino-Tibetan,Male,0.377875,Jump,jump,Jump,jump,0.0,0,0,0,1
svarah_01500,Urdu,Indo-Aryan,Female,7.800125,List all the AICTE approved institutes in the academic year 2021 - 2022,list all the aicte approved institutes in the academic year 2021 2022,List all the AICTE approved institutes in the academic year 2021-2022.,list all the aicte approved institutes in the academic year 2021 2022,0.0,0,0,0,12
svarah_01516,Bodo,Sino-Tibetan,Female,5.230125,"So in Assam, rice is the main food crop.",so in assam rice is the main food crop,"So in Assam, rice is the main food crop.",so in assam rice is the main food crop,0.0,0,0,0,9
svarah_01531,Bodo,Sino-Tibetan,Female,7.1696875,The socioeconomic condition of Assam depends largely on agricultural production.,the socioeconomic condition of assam depends largely on agricultural production,The socio-economic condition of Assam depends largely on agricultural production.,the socio economic condition of assam depends largely on agricultural production,0.2,1,0,1,10
svarah_01542,Bodo,Sino-Tibetan,Male,4.8755625,The Brahmaputra river flows through Assam from east to west,the brahmaputra river flows through assam from east to west,The Brahmaputra River flows through Assam from east to west.,the brahmaputra river flows through assam from east to west,0.0,0,0,0,10
svarah_01554,Nepali,Indo-Aryan,Female,0.412875,Four,four,Four,four,0.0,0,0,0,1
svarah_01561,Tamil,Dravidian,Male,4.686,"550, 660, 770, 880",550 660 770 880,"550, 660, 770, 880",550 660 770 880,0.0,0,0,0,4
svarah_01582,Telugu,Dravidian,Female,3.0,all I think around 13 seasons of it.,all i think around 13 seasons of it,completed the all I think around 13 seasons.,completed the all i think around 13 seasons,0.5,0,2,2,8
svarah_01584,Bodo,Sino-Tibetan,Male,5.3315625,the tourism department of BTC has taken off to celebrate the traditional customs,the tourism department of btc has taken off to celebrate the traditional customs,The Tourism Department of BTC has taken up to celebrate the traditional customs.,the tourism department of btc has taken up to celebrate the traditional customs,0.07692307692307693,1,0,0,13
svarah_01602,Tamil,Dravidian,Female,9.04825,Majority of these factories and industries are set up in rural parts of the state and the waste from them is directed into farmland through small rivers,majority of these factories and industries are set up in rural parts of the state and the waste from them is directed into farmland through small rivers,Majority of these factories and industries are set up in rural parts of the state and the waste from them is directed into farmland through small rivers.,majority of these factories and industries are set up in rural parts of the state and the waste from them is directed into farmland through small rivers,0.0,0,0,0,27
svarah_01654,Bodo,Sino-Tibetan,Female,14.7586875,"8th of August 1992, 27th of May 1997, 9th of January 2002, 2nd of June 1987, 2nd of December 2018.",8th of august 1992 27th of may 1997 9th of january 2002 2nd of june 1987 2nd of december 2018,"8th of August 1992, 27th of May 1997, 9th of January 2002, 2nd of June 1987, 2nd of December 2018.",8th of august 1992 27th of may 1997 9th of january 2002 2nd of june 1987 2nd of december 2018,0.0,0,0,0,20
svarah_01656,Maithili,Indo-Aryan,Male,2.5126875,Can you name five international cities?,can you name five international cities,Can you name five international cities?,can you name five international cities,0.0,0,0,0,6
svarah_01659,Hindi,Indo-Aryan,Female,5.7794375,What are the factors determining the cost of a fire insurance policy for my property?,what are the factors determining the cost of a fire insurance policy for my property,What are the factors determining the cost of a fire insurance policy for my property?,what are the factors determining the cost of a fire insurance policy for my property,0.0,0,0,0,15
svarah_01673,Bodo,Sino-Tibetan,Male,11.09725,During that time also I had an opportunity to go for cleaning of the town and the neighborhood,during that time also i had an opportunity to go for cleaning of the town and the neighborhood,"Uh, during that time also, I had an opportunity to go for, uh, cleaning of the town and the neighborhood.",uh during that time also i had an opportunity to go for uh cleaning of the town and the neighborhood,0.1111111111111111,0,0,2,18
svarah_01679,Telugu,Dravidian,Female,3.7,This is beyond the resources and capability of any one nation.,this is beyond the resources and capability of any one nation,This is beyond the resources and capability of any one nation.,this is beyond the resources and capability of any one nation,0.0,0,0,0,11
svarah_01705,Malayalam,Dravidian,Female,7.268,"where they would be teach us the basics of embroidery. You know, and this was mostly",where they would be teach us the basics of embroidery you know and this was mostly,"where they would teach us the basics of embroidery. You know, and this was mostly",where they would teach us the basics of embroidery you know and this was mostly,0.0625,0,1,0,16
svarah_01706,Malayalam,Dravidian,Female,7.058625,"In the earliest, Christians adopted a Greek version of this text, known as Septuagint. Septuagint means seven",in the earliest christians adopted a greek version of this text known as septuagint septuagint means seven,In the earliest Christians adopted a Greek version of this text known as Septuagint. It consists Septu means seven.,in the earliest christians adopted a greek version of this text known as septuagint it consists septu means seven,0.17647058823529413,1,0,2,17
svarah_01720,Tamil,Dravidian,Female,8.546375,Search for ESIC Centres with centre type Employees' State Insurance Dispensary in District Chatra,search for esic centres with centre type employees' state insurance dispensary in district chatra,"Search for ESIC centers with center type employees, state insurance dispensary in district Chatra.",search for esic centers with center type employees state insurance dispensary in district chatra,0.21428571428571427,3,0,0,14
svarah_01723,Bodo,Sino-Tibetan,Male,3.500375,flowing from west to east as the Tsangpo River,flowing from west to east as the tsangpo river,flowing from west to east as the Changpo River.,flowing from west to east as the changpo river,0.1111111111111111,1,0,0,9
svarah_01726,Marathi,Indo-Aryan,Female,6.175,that way they differ from the English language which is still formal for us.,that way they differ from the english language which is still formal for us,That way they differ from the English language which is still formal for us.,that way they differ from the english language which is still formal for us,0.0,0,0,0,14
svarah_01729,Odia,Indo-Aryan,Female,4.6753125,"Initially when I started this book, I didn't like it as much",initially when i started this book i didn't like it as much,"Initially when I started this book, I didn't like it as much.",initially when i started this book i didn't like it as much,0.0,0,0,0,12
svarah_01762,Kannada,Dravidian,Male,6.16,My interest had been in Kannada literature.,my interest had been in kannada literature,My interest had been in Kannada literature.,my interest had been in kannada literature,0.0,0,0,0,7
svarah_01781,Bodo,Sino-Tibetan,Male,5.500125,i am trying to find a Free Second Dose of COVOVAX for 15-17 years age group,i am trying to find a free second dose of covovax for 15 17 years age group,I am trying to find a pre-second dose of Covovax for fifteen to seventeen years age group.,i am trying to find a pre second dose of covovax for fifteen to seventeen years age group,0.23529411764705882,3,0,1,17
svarah_01783,Assamese,Indo-Aryan,Female,3.2916875,Please show me the reciept of my House Maintainance bill.,please show me the reciept of my house maintainance bill,Please show me the receipt of my house maintenance bill.,please show me the receipt of my house maintenance bill,0.2,2,0,0,10
svarah_01822,Bodo,Sino-Tibetan,Male,3.1305,There are a lot of private universities,there are a lot of private universities,There are a lot of private universities,there are a lot of private universities,0.0,0,0,0,7
svarah_01864,Malayalam,Dravidian,Female,6.2738125,"Yes, I have read the translated version of the alchemist written by Paolo Collo",yes i have read the translated version of the alchemist written by paolo collo,"Yes, I have read the translated version of The Alchemist written by Paulo Coelho.",yes i have read the translated version of the alchemist written by paulo coelho,0.14285714285714285,2,0,0,14
svarah_01886,Bodo,Sino-Tibetan,Male,2.0331875,Dibrugarh and Taspur town,dibrugarh and taspur town,Dibrugarh and Tezpur town,dibrugarh and tezpur town,0.25,1,0,0,4
svarah_01922,Hindi,Indo-Aryan,Male,5.46425,Reorder Milk Ma Brown Bread with same quantity mentioned in the last order.,reorder milk ma brown bread with same quantity mentioned in the last order,Reorder milk ma brown bread with same quantity mentioned in the last order.,reorder milk ma brown bread with same quantity mentioned in the last order,0.0,0,0,0,13
